Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20210701,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210801,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210901,7208.51.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, nesoi, not in coils, w/thick o/10mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,"181,665","118,522"
20210101,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210201,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210301,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210401,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,"20,166","21,123"
20210501,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,"4,033","4,199"
20210601,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210701,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210801,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210901,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Japan,Asia oriental y el Pacifico,kilograms,0,0
20210101,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210201,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210301,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210401,7208.52.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick 4.75mm+ but n/o 10mm, not clad/plated/",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
